Column1,Dias_acumulados,Ingresos,Costos
394,938,4919.824386,1621.776164
395,941,5686.404542,1699.928912
396,942,6185.65322,2077.724314
397,943,6091.586924,2016.736564
398,944,5578.282204,1820.534955
399,945,5714.826612,1781.408828
400,948,6289.493456,2033.635277
401,949,8453.438816,2717.295346
402,950,6445.737374,2153.952899
403,951,7982.302694,2461.302636
404,952,8004.593484,2472.384785
405,955,6304.389776,2082.072049
406,956,7210.99357,2411.082489
407,957,5973.927118,1972.167014
408,958,8790.920468,2614.838133
409,959,7172.6831,2399.92571
410,962,9324.231262,2931.499487
411,963,6045.539548,1815.961332
412,964,7766.618636,2502.581506
413,965,6432.711944,2053.469102
414,966,7667.03997,2351.793883
415,969,9346.852806,2974.33968
416,970,6331.019662,2064.742963
417,971,6751.556322,1944.43344
418,972,7049.98611,2107.48723
419,973,5979.255408,1847.719335
420,976,4762.827864,1434.307142
421,977,3583.262458,1186.330345
422,978,3627.180642,1161.991884
423,979,3554.028902,1053.034037
424,983,3354.1146,1010.8885
425,984,2440.981158,945.9599879
426,985,2164.405088,682.9891031
427,986,2854.04476,824.7483076
428,987,1519.521754,512.8467052
429,990,1441.200434,382.2221064
430,991,991.690408,442.4301723
431,992,1514.978518,484.9458652
432,993,841.340826,239.4677417
433,994,568.513262,196.9591337
434,997,1137.40082,292.206132
435,998,721.540736,217.2813785
436,999,403.75824,143.5964618
437,1000,509.642236,106.6463546
438,1001,175.451368,42.57488374
439,1004,419.497316,109.3036377
440,1005,128.147882,42.02032457
441,1006,76.791214,36.49127002
442,1007,184.600616,61.88091383
443,1008,102.528548,58.0697791
444,1013,15.297284,6.077093928
445,1018,72.07086,14.51266542
446,1019,24.426,2.785449
447,1020,2.08447,1.585035
448,1026,6.61036,2.09748717
449,1028,152.75572,28.69478924
